date,flow_id,case_label,channel,source_name,search_term,url_or_contact,action_type,result,lead_score,response_status,next_action,time_spent_minutes,notes
2026-06-26,R003_BODY_MUSTANG_BUMPER_RIGHT,Ford Mustang Fastback rear bumper right chrome,Google refined body,Mustang modelcontext,"1965 1966 Ford Mustang Fastback rear bumper right chrome original",https://en.wikipedia.org/wiki/Ford_Mustang_(first_generation),search,reference_found,2,not_contacted,continue,4,"1965-1966 is first-generation Mustang context; Fastback is relevant"
2026-06-26,R003_BODY_MUSTANG_BUMPER_RIGHT,Ford Mustang Fastback rear bumper right chrome,Google refined body,Body year context,"1965 Mustang rear bumper right side chrome used",https://en.wikipedia.org/wiki/Ford_Mustang_(first_generation),search,body_year_context_found,2,not_contacted,continue,4,"1965 and 1966 have exterior differences; keep year context"
2026-06-26,R003_BODY_MUSTANG_BUMPER_RIGHT,Ford Mustang Fastback rear bumper right chrome,Google refined body,Right-side bumper search,"1966 Mustang rear bumper end right chrome original",,search,ambiguous_parts_structure,1,not_contacted,channel_2_marketplace_refined_body,5,"Right part may mean bumper end, guard, bracket, rubber, trim or complete bumper"
2026-06-26,R003_BODY_MUSTANG_BUMPER_RIGHT,Ford Mustang Fastback rear bumper right chrome,Google refined body,Brackets rubbers search,"Mustang Fastback 1965 1966 rear bumper chrome brackets right",,search,related_parts_relevant,2,not_contacted,channel_2_marketplace_refined_body,4,"Related mounting parts are relevant"
2026-06-26,R003_BODY_MUSTANG_BUMPER_RIGHT,Ford Mustang Fastback rear bumper right chrome,Marketplace refined body,eBay indexed search,"eBay 1965 1966 Mustang rear bumper chrome used original",,search,no_verified_product_lead,1,not_contacted,channel_3_specialist_reference_if_needed,5,"No verified exact right-part listing via indexed search"
2026-06-26,R003_BODY_MUSTANG_BUMPER_RIGHT,Ford Mustang Fastback rear bumper right chrome,Marketplace refined body,eBay complete bumper search,"eBay 1965 Mustang rear bumper right side chrome",,search,complete_part_ambiguity,1,not_contacted,channel_3_specialist_reference_if_needed,4,"Search tends toward complete bumper/repro/sets rather than right part"
2026-06-26,R003_BODY_MUSTANG_BUMPER_RIGHT,Ford Mustang Fastback rear bumper right chrome,Marketplace refined body,eBay bracket guard search,"eBay 1965 1966 Mustang rear bumper guards chrome",,search,related_parts_found_no_main_lead,2,not_contacted,channel_3_specialist_reference_if_needed,4,"Related parts appear, but no confirmed match to right bumper part"
2026-06-26,R003_BODY_MUSTANG_BUMPER_RIGHT,Ford Mustang Fastback rear bumper right chrome,Marketplace refined body,Marktplaats indexed search,"Marktplaats Ford Mustang 1965 achterbumper chroom",,search,no_verified_product_lead,1,not_contacted,channel_3_specialist_reference_if_needed,3,"No verified Dutch listing through indexed search"
2026-06-26,R003_BODY_MUSTANG_BUMPER_RIGHT,Ford Mustang Fastback rear bumper right chrome,Marketplace refined body,2dehands indexed search,"2dehands Ford Mustang achterbumper chroom",,search,no_verified_product_lead,1,not_contacted,channel_3_specialist_reference_if_needed,3,"No verified Belgian listing through indexed search"
2026-06-26,R003_BODY_MUSTANG_BUMPER_RIGHT,Ford Mustang Fastback rear bumper right chrome,Specialist reference,Mustang specialist catalogue route,"Mustang 1965 1966 rear bumper chrome brackets part number",,reference,reference_route_needed,3,not_contacted,pause_run_003,6,"Need parts-structure clarification before more sourcing"
