category_code,label_nl,helper_prompt,related_parts_to_check,sensitive_if_missing,default_route
steering_controls,Stuur / bediening,"Weet je merk/model van het stuur, diameter, naaf/boss/adaptor, claxonknop, boutpatroon of kolomtype? Vermeld alles wat je weet.","hub/boss/adaptor; horn button; bolt pattern; column type",yes,specialist_validation_if_uncertain
interior_trim_upholstery,Interieur / bekleding,"Gaat het om links/rechts, voor/achter, materiaal, kleur, patroon, complete zetel of alleen bekleding? Heb je een foto van het bestaande interieur?","seat frame; foam; rails; clips; matching material",yes,refinement_check
body_exterior,Carrosserie / exterieur,"Gaat het om links/rechts, voor/achter, volledig paneel of reparatiestuk, chroom of lak, en zijn bevestigingspunten/beugels nodig?","brackets; mounting points; trim; seals; model-year differences",yes,refinement_check
lighting_electrical,Verlichting / elektrisch,"Staat er een merk of partnummer op? Is het links/rechts, voor/achter, lens/behuizing/reflector, 6V/12V, en welk connectortype?","housing; reflector; trim ring; seal; connector; voltage",yes,specialist_validation_if_uncertain
engine_fuel,Motor / brandstof,"Ken je motorcode, cilinderinhoud, carburateurmerk/type, injectie/carb, complete unit of revisieset, en zijn pakkingen/spruitstuk/kabels nodig?","gaskets; manifold; linkage; fuel lines; rebuild kit",yes,specialist_validation_if_uncertain
brakes_suspension,Remmen / ophanging,"Gaat het om voor/achter, links/rechts, schijf/trommel, diameter/maat, merk, kit of enkel onderdeel? Is het veiligheidskritisch?","disc/drum size; caliper brand; hoses; bushings; mounting points",yes,specialist_validation_if_uncertain
transmission_drivetrain,Transmissie / aandrijving,"Ken je type bak, aantal versnellingen, differentieelverhouding, spline count, koppelingdiameter, of gaat het om complete unit/interne onderdelen?","clutch; spline count; gearbox type; diff ratio; engine pairing",yes,specialist_validation_if_uncertain
rubber_seals,Rubbers / seals,"Waar zit het rubber precies? Volledige set of één stuk? Heb je een foto van profielvorm, bochten of eindstukken?","profile shape; body style; clips; corners; complete set",medium,refinement_check
chrome_trim,Chroom / sierlijsten,"Waar zit de sierlijst of het chroomdeel? Links/rechts, voor/achter, lengte, clips/bevestiging nodig, complete set of enkel stuk?","clips; mounting holes; length; side; set completeness",medium,refinement_check
instruments_dashboard,Dashboard / instrumenten,"Merk van instrument, schaal/eenheden, kleur wijzerplaat, partnummer achterzijde, connector/montage, werkend of cosmetisch?","connector; mounting; face color; gauge scale; part number",yes,refinement_check
unknown_other,Anders / weet ik niet,"Beschrijf zo concreet mogelijk waar het onderdeel zit, wat het doet, wat kapot/ontbrekend is, en voeg liefst een foto of oud onderdeelnummer toe.","manual classification needed",yes,manual_classification
